No,feedback,aspect,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment,feed_no_emo,_emo,n_emo
404,Lengkap banget,4,0,0,0,0,1,0,0,1,1,Lengkap banget,[],0
405,bermanfaat,4,0,0,0,0,1,0,0,1,1,bermanfaat,[],0
406,"video dan materinya sangat menarik dan mudah dipahami, materi dapat diajarkan dengan baik",4,0,0,0,0,1,0,0,1,1,"video dan materinya sangat menarik dan mudah dipahami, materi dapat diajarkan dengan baik",[],0
407,good teach,4,0,0,0,0,1,0,0,1,1,good teach,[],0
408,Mantaapp,4,0,1,0,0,1,0,1,0,1,Mantaapp,[],0
409,"penjelasan singkat, padat & jelas",4,0,0,0,0,1,0,0,1,1,"penjelasan singkat, padat & jelas",[],0
410,Tentunya mudah dipahami!,4,0,0,0,0,1,0,0,1,1,Tentunya mudah dipahami!,[],0
411,Easy to try actual and clear step by step instruction,4,0,0,0,0,1,0,0,1,1,Easy to try actual and clear step by step instruction,[],0
412,sangat puas!!,4,0,1,0,0,1,0,1,1,1,sangat puas!!,[],0
413,Mudah dan jelas penjelasannya,4,0,0,0,0,1,0,0,1,1,Mudah dan jelas penjelasannya,[],0
414,penjelasannya mudah dimengerti,4,0,0,0,0,1,0,0,1,1,penjelasannya mudah dimengerti,[],0
415,Some of the videos could not be played,4,1,0,0,1,0,1,0,0,0,Some of the videos could not be played,[],0
416,It's good for early beginner user,4,0,1,0,0,1,0,0,1,1,It's good for early beginner user,[],0
417,banyak pengetahuan baru yg saya dapat dari pembelajaran ini,4,0,1,0,0,1,0,0,1,1,banyak pengetahuan baru yg saya dapat dari pembelajaran ini,[],0
418,bagus sekali,4,0,0,0,0,1,0,0,1,1,bagus sekali,[],0
419,cukup detail dlm memberikan gambaran AI,4,0,1,0,0,1,0,0,1,1,cukup detail dlm memberikan gambaran AI,[],0
420,mantap mudah dimengerti,4,0,0,0,0,1,0,0,1,1,mantap mudah dimengerti,[],0
421,Menarik untuk dipelajari,4,0,1,0,0,1,0,0,1,1,Menarik untuk dipelajari,[],0
422,sangat menarik,4,0,1,0,0,1,0,1,1,1,sangat menarik,[],0
423,Bagus,4,0,0,0,0,1,0,0,1,1,Bagus,[],0
424,bagus,4,0,0,0,0,1,0,0,1,1,bagus,[],0
425,ok,4,0,0,0,0,1,0,0,1,2,ok,[],0
426,terima kasih atas Ilmu yg sangat bermanfaat,4,0,0,0,0,1,0,0,1,1,terima kasih atas Ilmu yg sangat bermanfaat,[],0
427,help me to understand and successfull,4,0,1,0,0,1,0,0,1,1,help me to understand and successfull,[],0
428,Sangat membantu menabah pengetahuan saya,4,0,1,0,0,1,0,0,1,1,Sangat membantu menabah pengetahuan saya,[],0
429,Luar biasa mantap sangat bermanfaat lesson kali ini namun sayangnya belum ada penjelasan kenapa tidak bisa dibuka aplikasinya pada komputer windows,0,1,0,0,0,0,1,0,0,1,Luar biasa mantap sangat bermanfaat lesson kali ini namun sayangnya belum ada penjelasan kenapa tidak bisa dibuka aplikasinya pada komputer windows,[],0
430,Terima kasih,4,0,0,0,0,1,0,0,1,1,Terima kasih,[],0
431,"pelatihan atau pelajaran ini sangat bermanfaat bagi saya karena banyak memberikan masukan, saran, motivasi dan bagaimana cara untuk didalam mencapai target",4,0,1,0,0,1,0,0,1,1,"pelatihan atau pelajaran ini sangat bermanfaat bagi saya karena banyak memberikan masukan, saran, motivasi dan bagaimana cara untuk didalam mencapai target",[],0
432,dan juga sangat membantu didalam melakukan pekerjaan sehari-hari,4,0,0,0,0,1,0,0,1,1,dan juga sangat membantu didalam melakukan pekerjaan sehari-hari,[],0
433,Sangat membantu dalam menyelesaikan tugas-tugas di tempat kerja,4,0,0,0,0,1,0,0,1,1,Sangat membantu dalam menyelesaikan tugas-tugas di tempat kerja,[],0
434,materi sangat menarik dan membantu dalam menjalankan tugas,4,0,1,0,0,1,0,0,1,1,materi sangat menarik dan membantu dalam menjalankan tugas,[],0
435,"Overall, it was very good",4,0,0,0,0,1,0,0,1,1,"Overall, it was very good",[],0
436,sangat bermanpaat,4,0,0,0,0,1,0,0,1,1,sangat bermanpaat,[],0
437,mantab sekali penjelasannya,4,0,1,0,0,1,0,1,0,1,mantab sekali penjelasannya,[],0
438,Bahagia sekali menambah pengetahuan,4,0,1,0,0,1,0,0,1,1,Bahagia sekali menambah pengetahuan,[],0
439,pelajaran yang menarik,4,0,1,0,0,1,0,0,1,1,pelajaran yang menarik,[],0
440,praktikal dan pragmatis 😢,4,0,0,1,1,0,1,0,0,0,praktikal dan pragmatis,['😢'],1
441,"Excellent training, highly satisfying experience",4,0,1,0,0,1,0,1,1,1,"Excellent training, highly satisfying experience",[],0
442,sangat menarik dan menambah wawasan ilmu baru,4,0,1,0,0,1,0,0,1,1,sangat menarik dan menambah wawasan ilmu baru,[],0
443,Sangat berguna dan memberikan khasanah baru,4,0,1,0,0,1,0,0,1,1,Sangat berguna dan memberikan khasanah baru,[],0
444,Sangat jelas penjelasanya dan mudah di pahami,4,0,0,0,0,1,0,0,1,1,Sangat jelas penjelasanya dan mudah di pahami,[],0
445,sangat update untuk pekembangan saat ini,4,0,1,0,0,1,0,0,1,1,sangat update untuk pekembangan saat ini,[],0
446,"theory only, no learning prompting, literal click bait",2,1,0,1,0,0,0,0,0,0,"theory only, no learning prompting, literal click bait",[],0
447,just theory,2,1,0,0,0,0,0,0,0,0,just theory,[],0
448,i thought we will learn AI practically,2,1,0,0,0,0,0,0,0,0,i thought we will learn AI practically,[],0
449,boring,3,1,0,0,0,0,0,0,0,0,boring,[],0
450,"Belajar AI dari nol mungkin benar, tapi ekspektasi hingga penguasaan langkah demi langkah seperti yang di judul tidak di dapat dalam materi",4,1,0,0,0,0,0,0,0,0,"Belajar AI dari nol mungkin benar, tapi ekspektasi hingga penguasaan langkah demi langkah seperti yang di judul tidak di dapat dalam materi",[],0
451,the explanation quiet good simple and clear,4,0,0,0,0,1,0,0,1,1,the explanation quiet good simple and clear,[],0
452,It's good,4,0,0,0,0,1,0,0,1,1,It's good,[],0
453,"its clear for me to find the history of AI industry, and also the prediction of some industry can affect by it",4,0,1,0,0,1,0,0,1,1,"its clear for me to find the history of AI industry, and also the prediction of some industry can affect by it",[],0
454,"Its very important to us, to know how AI works, so we can still adapt to it",4,0,1,0,0,1,0,0,1,1,"Its very important to us, to know how AI works, so we can still adapt to it",[],0
455,"The moderator or the teacher in here very clear, but somehow i feel , instructor is AI too haha",4,0,0,0,0,0,0,1,0,1,"The moderator or the teacher in here very clear, but somehow i feel , instructor is AI too haha",[],0
456,baik mudah untuk dipahami,4,0,0,0,0,1,0,0,1,1,baik mudah untuk dipahami,[],0
457,Very Informative And Helpful,4,0,1,0,0,1,0,0,1,1,Very Informative And Helpful,[],0
458,"The explanation is very clear, easily understood and full of insight!",4,0,1,0,0,1,0,0,1,1,"The explanation is very clear, easily understood and full of insight!",[],0
459,Materi sesuai dengan yang saya minati,4,0,1,0,0,1,0,0,1,2,Materi sesuai dengan yang saya minati,[],0
460,"Ya, Penjelasaannya cukup jelas dan mudah dimengerti",4,0,0,0,0,1,0,0,1,1,"Ya, Penjelasaannya cukup jelas dan mudah dimengerti",[],0
461,Belajar pengenalan informasi Manajemen di udemy lebih efektif dan efisien,4,0,1,0,0,1,0,0,1,1,Belajar pengenalan informasi Manajemen di udemy lebih efektif dan efisien,[],0
462,Kita belajar lebih enjoy dan kalau Tidak mengerti bisa di ulang ² videonya atau bisa juga bertanya di kolom komentar,4,0,1,0,0,1,0,0,1,1,Kita belajar lebih enjoy dan kalau Tidak mengerti bisa di ulang ² videonya atau bisa juga bertanya di kolom komentar,[],0
463,Belajar yang disediakanpyn menjadi lebih menyenangkan,4,0,1,0,0,1,0,0,1,1,Belajar yang disediakanpyn menjadi lebih menyenangkan,[],0
464,kenapa ga di kasih tau dari dulu waktu saya kuliah kalo binus ada di udemy 🙁,4,1,1,0,0,0,1,0,0,0,kenapa ga di kasih tau dari dulu waktu saya kuliah kalo binus ada di udemy,['🙁'],1
465,karena materinya bagus,4,0,0,0,0,1,0,0,1,1,karena materinya bagus,[],0
466,baguss bangettt,4,0,0,0,0,1,0,1,1,1,baguss bangettt,[],0
467,Sangat berguna,4,0,0,0,0,1,0,0,1,1,Sangat berguna,[],0
468,bahasanya mudah dimengerti,4,0,0,0,0,1,0,0,1,1,bahasanya mudah dimengerti,[],0
469,Sangat baik,4,0,0,0,0,1,0,0,0,1,Sangat baik,[],0
470,menarik,4,0,0,0,0,1,0,0,0,1,menarik,[],0
471,I enjoy it,4,0,0,0,0,1,0,0,0,1,I enjoy it,[],0
472,Maunya ada coding exercise-nya,2,0,1,0,0,0,0,0,0,2,Maunya ada coding exercise-nya,[],0
473,mantap,4,0,0,0,0,1,0,1,0,1,mantap,[],0
474,jadi paham dasar2 terkait python,4,0,1,0,0,1,0,0,0,1,jadi paham dasar2 terkait python,[],0
475,sangat membantu,4,0,0,0,0,1,0,0,1,1,sangat membantu,[],0
476,cocok untuk pemula,4,0,1,0,0,0,0,0,1,1,cocok untuk pemula,[],0
477,"amazing, thankyou!",4,0,0,0,0,1,0,1,0,1,"amazing, thankyou!",[],0
478,"Materi terstuktur, lengkap dan benar-benar diajari dari nol",4,0,0,0,0,1,0,0,1,1,"Materi terstuktur, lengkap dan benar-benar diajari dari nol",[],0
479,Sangat cocok untuk pemula,4,0,1,0,0,1,0,0,1,1,Sangat cocok untuk pemula,[],0
480,Jelas dan bagus penyampaian materinya,4,0,0,0,0,1,0,0,0,1,Jelas dan bagus penyampaian materinya,[],0
481,"Keren dah pokoknya kelas python ini, banyak hal yang saya pelajari terima kasih",4,0,1,0,0,0,0,0,1,1,"Keren dah pokoknya kelas python ini, banyak hal yang saya pelajari terima kasih",[],0
482,"Kelas ini sangat luarbiasa, penjelasan dan metode pengajaran sangat baik",4,0,0,0,0,1,0,1,0,1,"Kelas ini sangat luarbiasa, penjelasan dan metode pengajaran sangat baik",[],0
483,"the explanation of the material is very good and easy to understand, the arrangement of the material is also very good and most importantly can explain difficult things to look easy",4,0,0,0,0,1,0,1,0,1,"the explanation of the material is very good and easy to understand, the arrangement of the material is also very good and most importantly can explain difficult things to look easy",[],0
484,amazing and thank you for this video,4,0,0,0,0,1,0,1,0,1,amazing and thank you for this video,[],0
485,"sangat bagus, mudah dimengerti dan penjelasan sangat bagus dan materi tersusun dengan terstruktur",4,0,0,0,0,1,0,0,1,1,"sangat bagus, mudah dimengerti dan penjelasan sangat bagus dan materi tersusun dengan terstruktur",[],0
486,"Materi yg kereen, harus rajin belajar lagi ni",4,0,0,0,0,1,0,0,0,1,"Materi yg kereen, harus rajin belajar lagi ni",[],0
487,"Proses pembelajaran cocok dengan saya, materi yang disampaikan jelas dan mudah dipahami",4,0,0,0,0,1,0,0,1,1,"Proses pembelajaran cocok dengan saya, materi yang disampaikan jelas dan mudah dipahami",[],0
488,nice a course,4,0,0,0,0,1,0,0,0,1,nice a course,[],0
489,Good job,4,0,0,0,0,1,0,0,0,1,Good job,[],0
490,Pembahasannya mudah dimengerti,4,0,0,0,0,1,0,0,1,1,Pembahasannya mudah dimengerti,[],0
491,bagus banget buat pemula belajar,4,0,1,0,0,1,0,0,0,1,bagus banget buat pemula belajar,[],0
492,Penjelasan sebelum memulai sudah bagus,4,0,0,0,0,1,0,0,1,1,Penjelasan sebelum memulai sudah bagus,[],0
493,Semoga cocok saya merasa lebih baik daripada belajar lewat platform lain,4,0,1,0,0,0,0,0,1,1,Semoga cocok saya merasa lebih baik daripada belajar lewat platform lain,[],0
494,"Materinya sangat membantu dan mudah dipahami, lumayan untuk buat yang baru mulai belajar",4,0,1,0,0,1,0,0,1,1,"Materinya sangat membantu dan mudah dipahami, lumayan untuk buat yang baru mulai belajar",[],0
495,Saya sangat suka,4,0,0,0,0,1,0,0,0,1,Saya sangat suka,[],0
496,Lanjutkan,4,0,1,0,0,1,0,0,0,1,Lanjutkan,[],0
497,bagus bro mantap 🙂🙂,4,0,0,0,0,1,0,1,0,1,bagus bro mantap,"['🙂', '🙂']",2
498,"materinya lengkap dan mudah dipahami, seru",4,0,0,0,0,1,0,0,0,1,"materinya lengkap dan mudah dipahami, seru",[],0
499,"Great, This is the best and most comprehensive Python Class",4,0,0,0,0,1,0,1,1,1,"Great, This is the best and most comprehensive Python Class",[],0
500,"karena selain jam belajar nya fleksibel, arahan yg di ajarkan mudah di pahami",4,0,0,0,0,1,0,0,1,1,"karena selain jam belajar nya fleksibel, arahan yg di ajarkan mudah di pahami",[],0
501,penjelasannya gamblang mudah dipahami,4,0,0,0,0,1,0,0,1,1,penjelasannya gamblang mudah dipahami,[],0
502,Easy to understand,4,0,0,0,0,1,0,0,1,1,Easy to understand,[],0
503,Sangat membantu karena penjelasan mudah dipahami,4,0,0,0,0,1,0,0,1,1,Sangat membantu karena penjelasan mudah dipahami,[],0
504,nice dan mudah dimengerti,4,0,0,0,0,1,0,0,1,1,nice dan mudah dimengerti,[],0
505,"Materinya daging semua, lengkap banget sampe di bahas ke dalem-dalemnya, rekomended buat yang baru belajar python, apalagi dalam bahasa indonesia",4,0,0,0,0,1,0,0,1,1,"Materinya daging semua, lengkap banget sampe di bahas ke dalem-dalemnya, rekomended buat yang baru belajar python, apalagi dalam bahasa indonesia",[],0
506,Lengkap banget,4,0,0,0,0,1,0,0,1,1,Lengkap banget,[],0
507,"video dan materinya sangat menarik dan mudah dipahami, materi dapat diajarkan dengan baik",4,0,0,0,0,1,0,1,1,1,"video dan materinya sangat menarik dan mudah dipahami, materi dapat diajarkan dengan baik",[],0
508,Mantap,4,0,1,0,0,1,0,1,0,1,Mantap,[],0
509,"penjelasan singkat, padat & jelas",4,0,0,0,0,1,0,0,1,1,"penjelasan singkat, padat & jelas",[],0
510,Tentunya mudah dipahami!,4,0,0,0,0,1,0,0,1,1,Tentunya mudah dipahami!,[],0
511,mungkin bisa di jelaskan kodingan nya,2,0,1,0,0,0,0,0,0,2,mungkin bisa di jelaskan kodingan nya,[],0
512,"waktu saya belajar saya terbatas, bagus senadainya materi bisa dishare, agar bisa belajar tanpa harus koneksi keinternet",0,0,1,0,0,0,1,0,0,1,"waktu saya belajar saya terbatas, bagus senadainya materi bisa dishare, agar bisa belajar tanpa harus koneksi keinternet",[],0
513,seru,4,0,0,0,0,1,0,0,0,1,seru,[],0
514,"Tugas dan proyek yang diberikan sangat aplikatif, terutama dalam membangun model deep learning untuk pengenalan objek dan klasifikasi gambar",4,0,0,0,0,1,0,1,0,1,"Tugas dan proyek yang diberikan sangat aplikatif, terutama dalam membangun model deep learning untuk pengenalan objek dan klasifikasi gambar",[],0
515,Ini sangat membantu dalam menguatkan pemahaman peserta mengenai teori yang disampaikan,4,0,0,0,0,1,0,0,1,1,Ini sangat membantu dalam menguatkan pemahaman peserta mengenai teori yang disampaikan,[],0
516,So far all materials in Section 1 easy to understand good job,4,0,0,0,0,1,0,0,1,1,So far all materials in Section 1 easy to understand good job,[],0
517,nice,4,0,0,0,0,1,0,0,0,1,nice,[],0
518,Great Lecture,4,0,0,0,0,1,0,0,0,1,Great Lecture,[],0
519,Cocok sekali,4,0,0,0,0,1,0,0,1,1,Cocok sekali,[],0
520,Mantap,4,0,1,0,0,1,0,1,0,1,Mantap,[],0
521,awesome,4,0,1,0,0,1,0,1,0,1,awesome,[],0
522,"The overall course does not portray the title ""Introduction to Python for Machine Learning"", lecturers only focussed on giving out/showing off what kind of codes they know in a fast pace",1,1,0,1,0,0,1,0,0,0,"The overall course does not portray the title ""Introduction to Python for Machine Learning"", lecturers only focussed on giving out/showing off what kind of codes they know in a fast pace",[],0
523,I was expecting of a more professional teaching out of this course,1,1,0,0,0,0,1,0,0,1,I was expecting of a more professional teaching out of this course,[],0
524,Course should be explaining what Python can be used and with specific details explaining the essence of learning this course,2,1,1,0,0,0,0,0,0,1,Course should be explaining what Python can be used and with specific details explaining the essence of learning this course,[],0
525,Lecturers should break all functions in Python into specific categories of its usage then explain what are the codes in each categories and explain it in layman language 👍,2,0,1,0,0,0,0,0,0,1,Lecturers should break all functions in Python into specific categories of its usage then explain what are the codes in each categories and explain it in layman language,['👍'],1
526,Tampilan layar dengan audio terkadang tidak match,0,1,0,0,0,0,1,0,0,0,Tampilan layar dengan audio terkadang tidak match,[],0
527,"Menarik, tetapi mohon agar isi video dijelaskan cukup detail tidak lompat sana sini, misal tiba tiba langsung memberikan contoh yang kompleks tanpa penjelasan detail terlebih dahulu, dan juga untuk konten video dengan judul ""String dan Fungsi 1"" dan konten yang berjudul ""String dan Fungsi 3"" sepertinya videonya tertukar",2,1,1,0,0,0,0,0,0,0,"Menarik, tetapi mohon agar isi video dijelaskan cukup detail tidak lompat sana sini, misal tiba tiba langsung memberikan contoh yang kompleks tanpa penjelasan detail terlebih dahulu, dan juga untuk konten video dengan judul ""String dan Fungsi 1"" dan konten yang berjudul ""String dan Fungsi 3"" sepertinya videonya tertukar",[],0
528,Kursus ini cocok bagi pemula yang sudah mempunyai dasar pengetahuan pemrograman sebelumnya,2,0,0,0,0,1,0,0,1,1,Kursus ini cocok bagi pemula yang sudah mempunyai dasar pengetahuan pemrograman sebelumnya,[],0
529,"Materi yang disajikan menarik, namun kurang sedikit sistematis, mohon dapat ditinjau ulang kedepannya",2,0,1,0,0,1,0,0,0,1,"Materi yang disajikan menarik, namun kurang sedikit sistematis, mohon dapat ditinjau ulang kedepannya",[],0
530,"Mudah diikuti, dengan bahasa yang baik",4,0,0,0,0,1,0,0,1,1,"Mudah diikuti, dengan bahasa yang baik",[],0
531,Terima kasih ilmunya sangat bermanfaat 🙏,4,0,0,0,0,1,0,0,1,1,Terima kasih ilmunya sangat bermanfaat,['🙏'],1
532,Di awal saya bisa mengerti maksud penjelasan secara umum ttg ANN 🙂,2,0,0,0,0,1,0,0,1,2,Di awal saya bisa mengerti maksud penjelasan secara umum ttg ANN,['🙂'],1
533,"Namun ketika menuju ke tengah dan akhir saat banyak ditunjukan contoh perhitungan, saya tidak bisa menangkap maksud perhitungan tersebut untuk apa dan seperti apa aplikasinya 😕",2,0,1,0,0,0,1,0,0,0,"Namun ketika menuju ke tengah dan akhir saat banyak ditunjukan contoh perhitungan, saya tidak bisa menangkap maksud perhitungan tersebut untuk apa dan seperti apa aplikasinya",['😕'],1
534,"Tiap metode, terutama section 3 dan 4 tidak diselesaikan hingga tuntas 😐",2,1,0,0,0,0,1,0,0,0,"Tiap metode, terutama section 3 dan 4 tidak diselesaikan hingga tuntas",['😐'],1
535,"terlalu datar penyampaiannya, materi sudah cukup baik 😶",1,0,0,0,0,0,1,0,0,1,"terlalu datar penyampaiannya, materi sudah cukup baik",['😶'],1
536,"kursus ini cocok untuk saya, dalam hal ini selain kita harus mengenal data dan sumber data tersebut, kita bisa mengklasifikasikan berdasarkan kebutuhan 👍",4,0,0,0,0,1,0,0,1,1,"kursus ini cocok untuk saya, dalam hal ini selain kita harus mengenal data dan sumber data tersebut, kita bisa mengklasifikasikan berdasarkan kebutuhan",['👍'],1
537,Good course,4,0,0,0,0,1,0,0,0,1,Good course,[],0
538,Just like what I needed 👍,4,0,0,0,0,1,0,0,0,1,Just like what I needed,['👍'],1
539,Thanks 🙏,4,0,0,0,0,1,0,0,0,1,Thanks,['🙏'],1
540,"penjelasan jelas, namun pointer di power point tidak tampak 😕",4,0,1,0,0,0,0,0,0,0,"penjelasan jelas, namun pointer di power point tidak tampak",['😕'],1
541,quite good so far 🙂,4,0,0,0,0,1,0,0,1,1,quite good so far,['🙂'],1
542,good 👍,4,0,0,0,0,1,0,0,0,1,good,['👍'],1
543,The material delivered by ANN was very good 😃,4,0,0,0,0,1,0,0,1,1,The material delivered by ANN was very good,['😃'],1
544,sangat seru untuk belajar lagi 😄,4,0,1,0,0,1,0,0,0,1,sangat seru untuk belajar lagi,['😄'],1
545,"Dapat menambah wawasan, terimakasih",4,0,0,0,0,1,0,0,1,1,"Dapat menambah wawasan, terimakasih",[],0
546,penjelasannya enak,4,0,0,0,0,1,0,0,1,1,penjelasannya enak,[],0
547,menambah ilmu,4,0,0,0,0,1,0,0,1,1,menambah ilmu,[],0
548,nice lesson,4,0,0,0,0,1,0,0,0,1,nice lesson,[],0
549,penyampaian lebih kepada membaca bukan berfokus pada pemahaman seiap topik yang disajikan 😐,1,1,0,0,0,0,1,0,0,2,penyampaian lebih kepada membaca bukan berfokus pada pemahaman seiap topik yang disajikan,['😐'],1
550,pada beberapa bagian statistik kelihatan tidak menguasai cara membaca notasi-notasi dalam statistik 😕,1,1,0,0,0,0,1,0,0,0,pada beberapa bagian statistik kelihatan tidak menguasai cara membaca notasi-notasi dalam statistik,['😕'],1
551,Mungkin lebih baik bila dijelaskan tanpa membaca 🙄,1,0,1,0,0,0,0,0,0,0,Mungkin lebih baik bila dijelaskan tanpa membaca,['🙄'],1
552,Menggunakan media papan tulis atau langsung dicatat dilayar,1,0,1,0,0,0,0,0,0,2,Menggunakan media papan tulis atau langsung dicatat dilayar,[],0
553,"Mempraktikan langsung statistika, phyton dsb lebih mengasyikan dari pada sekedar membaca layar PPT",1,0,1,0,0,0,0,0,0,1,"Mempraktikan langsung statistika, phyton dsb lebih mengasyikan dari pada sekedar membaca layar PPT",[],0
554,Mudah2an menjadi masukan 🤲,1,0,1,0,0,0,0,0,0,2,Mudah2an menjadi masukan,['🤲'],1
555,materinya lumayan mudah di pahami 🙂,4,0,0,0,0,1,0,0,1,1,materinya lumayan mudah di pahami,['🙂'],1
556,materi disusun urut ✅,2,0,0,0,0,1,0,0,1,1,materi disusun urut,['✅'],1
557,"bahkan utk saya yg sudah memahami matematika, probabilitas dan statistika karena dulu kuliah di matematika",2,0,0,0,0,1,0,0,1,2,"bahkan utk saya yg sudah memahami matematika, probabilitas dan statistika karena dulu kuliah di matematika",[],0
558,cukup terbantu dan merefresh pengetahuan lagi 🙂,4,0,0,0,0,1,0,0,1,1,cukup terbantu dan merefresh pengetahuan lagi,['🙂'],1
559,Sangat Komprehensif !!! 😃,4,0,0,0,0,1,0,1,1,1,Sangat Komprehensif !!!,['😃'],1
560,Saya tidak ada masalah dengan materinya 👍,4,0,0,0,0,1,0,0,0,1,Saya tidak ada masalah dengan materinya,['👍'],1
561,"Namun penjelesan instruktur sangat lambat dengan nada kaku dan monoton, sehingga saya harus setup kecepatan video menjadi 2x",1,1,0,0,0,0,1,0,0,0,"Namun penjelesan instruktur sangat lambat dengan nada kaku dan monoton, sehingga saya harus setup kecepatan video menjadi 2x",[],0
562,"Steps to instal the phyton mus be included, and if there is a different between version of the aps what would happend? 😔",0,0,1,0,1,0,1,0,0,0,"Steps to instal the phyton mus be included, and if there is a different between version of the aps what would happend?",['😔'],1
563,"Yeah it was good, but there's a question about certain line program that i already ask in Q&A section but i haven't receive any reply",3,1,1,0,0,0,1,0,0,0,"Yeah it was good, but there's a question about certain line program that i already ask in Q&A section but i haven't receive any reply",[],0
564,untuk pembimbing dimohon nada bicara agak sedikit lebih fariativ agar pembelajaran tidak membosankan,1,0,1,0,0,0,0,0,0,2,untuk pembimbing dimohon nada bicara agak sedikit lebih fariativ agar pembelajaran tidak membosankan,[],0
565,thats good,4,0,0,0,0,1,0,0,0,1,thats good,[],0
566,Materi dan penyampaian menyenangkan,4,0,0,0,0,1,0,0,0,1,Materi dan penyampaian menyenangkan,[],0
567,saya cukup mengerti dengan materi yang diberikan,4,0,0,0,0,1,0,0,1,1,saya cukup mengerti dengan materi yang diberikan,[],0
568,"Well, it's a great course, i can easly understand",4,0,0,0,0,1,0,0,1,1,"Well, it's a great course, i can easly understand",[],0
569,But the way he teach us is a little bit confusing,1,0,1,0,0,0,1,0,0,0,But the way he teach us is a little bit confusing,[],0
570,This course is really God,4,0,0,0,0,1,0,1,1,1,This course is really God,[],0
571,"Actually, my son is 9 th grade can follow this lecture very well",4,0,0,0,0,1,0,1,1,1,"Actually, my son is 9 th grade can follow this lecture very well",[],0
572,I strongly recommend this course,4,0,0,0,0,1,0,0,1,1,I strongly recommend this course,[],0
573,Thanks instructor,4,0,0,0,0,1,0,0,0,2,Thanks instructor,[],0
574,detail banget penyampaiannya great jpb,4,0,0,0,0,1,0,0,1,1,detail banget penyampaiannya great jpb,[],0
575,"Walaupun cara membahasnya agak sedikit lambat, tapi ini keren",1,0,1,0,0,1,0,0,1,1,"Walaupun cara membahasnya agak sedikit lambat, tapi ini keren",[],0
576,penjelasannya sangat jelas pelan dan mudah di pahami,4,0,0,0,0,1,0,0,1,1,penjelasannya sangat jelas pelan dan mudah di pahami,[],0
577,Video pembelajaran mudah dipahami,4,0,0,0,0,1,0,0,1,1,Video pembelajaran mudah dipahami,[],0
578,Memuaskan,4,0,0,0,0,1,0,0,0,1,Memuaskan,[],0
579,Penjelasan yang terstruktur dan sistematis,4,0,0,0,0,1,0,0,1,2,Penjelasan yang terstruktur dan sistematis,[],0
580,ga terlalu cepat 😎,4,0,0,0,0,1,0,1,0,1,ga terlalu cepat,['😎'],1
581,Cukup dimengerti dan Mudah dipahami,4,0,0,0,0,1,0,0,1,1,Cukup dimengerti dan Mudah dipahami,[],0
582,Awal yg luar biasa,4,0,1,0,0,1,0,1,0,1,Awal yg luar biasa,[],0
583,mudah dimengerti,4,0,0,0,0,1,0,0,1,1,mudah dimengerti,[],0
584,"penjelasan cukup jelas dan gamblang, mudah difahami",4,0,0,0,0,1,0,0,1,1,"penjelasan cukup jelas dan gamblang, mudah difahami",[],0
585,"Keren, Tutorial nya sangat bermanfaat dan lengkap",4,0,0,0,0,1,0,1,1,1,"Keren, Tutorial nya sangat bermanfaat dan lengkap",[],0
586,cara penyampaian nya juga sangat bagus dan mudah dimengerti,4,0,0,0,0,1,0,0,1,1,cara penyampaian nya juga sangat bagus dan mudah dimengerti,[],0
587,"Materinya to the point, langsung praktek scrap beberapa contoh web baik yang live website atau dalam file html",4,0,0,0,0,1,0,0,1,1,"Materinya to the point, langsung praktek scrap beberapa contoh web baik yang live website atau dalam file html",[],0
588,saya langsung paham penggunaan library beautiful soup ini,4,0,0,0,0,1,0,0,1,1,saya langsung paham penggunaan library beautiful soup ini,[],0
589,untuk saran sebaiknya di akhir ada referensi web/source untuk mendalami penggunaan library beautifulsoup ini,2,0,1,0,0,0,0,0,0,2,untuk saran sebaiknya di akhir ada referensi web/source untuk mendalami penggunaan library beautifulsoup ini,[],0
590,Good explanation,4,0,0,0,0,1,0,0,1,1,Good explanation,[],0
591,Materi dijelaskan dengan gamblang dan mudah dipahami,4,0,0,0,0,1,0,0,1,1,Materi dijelaskan dengan gamblang dan mudah dipahami,[],0
592,"Suaranya jelas, materi sesuai dengan ekspektasi, cocok untuk pemula seperti saya",4,0,0,0,0,1,0,0,1,1,"Suaranya jelas, materi sesuai dengan ekspektasi, cocok untuk pemula seperti saya",[],0
593,setiap materi dasar dijelaskan dengan baik dan jelas,4,0,0,0,0,1,0,0,1,1,setiap materi dasar dijelaskan dengan baik dan jelas,[],0
594,luar biasa,4,0,0,0,0,1,0,1,0,1,luar biasa,[],0
595,I love it,4,0,0,0,0,1,0,1,0,1,I love it,[],0
596,harus dicoba langsung,4,0,1,0,0,0,0,0,0,1,harus dicoba langsung,[],0
597,Kursus ini bagus untuk seseorang yang ingin belajar Python dari dasar,4,0,1,0,0,1,0,0,1,1,Kursus ini bagus untuk seseorang yang ingin belajar Python dari dasar,[],0
598,"Namun, kekurangan kursus ini sangat minim contoh soal yang bisa kita pelajari, diharapkan bisa ditambah studi kasus yang bisa di explore oleh setiap pengguna kursus ini",2,0,1,0,0,0,0,0,0,0,"Namun, kekurangan kursus ini sangat minim contoh soal yang bisa kita pelajari, diharapkan bisa ditambah studi kasus yang bisa di explore oleh setiap pengguna kursus ini",[],0
599,bagus sekali,4,0,0,0,0,1,0,0,0,1,bagus sekali,[],0
